lane_key,origin_id,origin_name,destination_id,destination_name,lane_status,last_checked,run_mode,sailing_id,etd,eta,vessel,transit,route,point_to_point_url
2IW9P6J7XAW72__2LMUYHDQXMRNJ,2IW9P6J7XAW72,Shanghai,2LMUYHDQXMRNJ,Los Angeles,active,2026-03-18,full,434:610E,2026-03-16 17:43,2026-04-01 08:00,GERNER MAERSK,16d 5h 17m,P1E | 708 TP8 | YANGSHAN SGH GUANDONG TERMINAL (Shanghai) -> LSA APM Terminal Pier 400( W185 ) (Los Angeles),https://www.maersk.com/schedules/pointToPoint?from=2IW9P6J7XAW72&to=2LMUYHDQXMRNJ&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
2IW9P6J7XAW72__2LMUYHDQXMRNJ,2IW9P6J7XAW72,Shanghai,2LMUYHDQXMRNJ,Los Angeles,active,2026-03-18,full,613:611E,2026-03-23 15:00,2026-04-08 08:00,GERD MAERSK,16d 8h,P1E | 708 TP8 | YANGSHAN SGH GUANDONG TERMINAL (Shanghai) -> LSA APM Terminal Pier 400( W185 ) (Los Angeles),https://www.maersk.com/schedules/pointToPoint?from=2IW9P6J7XAW72&to=2LMUYHDQXMRNJ&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
2IW9P6J7XAW72__2LMUYHDQXMRNJ,2IW9P6J7XAW72,Shanghai,2LMUYHDQXMRNJ,Los Angeles,active,2026-03-18,full,614:612E,2026-03-30 14:00,2026-04-15 08:00,GEORG MAERSK,16d 9h,P1E | 708 TP8 | YANGSHAN SGH GUANDONG TERMINAL (Shanghai) -> LSA APM Terminal Pier 400( W185 ) (Los Angeles),https://www.maersk.com/schedules/pointToPoint?from=2IW9P6J7XAW72&to=2LMUYHDQXMRNJ&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
2IW9P6J7XAW72__2LMUYHDQXMRNJ,2IW9P6J7XAW72,Shanghai,2LMUYHDQXMRNJ,Los Angeles,active,2026-03-18,full,592:613E,2026-04-07 13:00,2026-04-22 08:00,GERDA MAERSK,15d 10h,P1E | 708 TP8 | YANGSHAN SGH GUANDONG TERMINAL (Shanghai) -> LSA APM Terminal Pier 400( W185 ) (Los Angeles),https://www.maersk.com/schedules/pointToPoint?from=2IW9P6J7XAW72&to=2LMUYHDQXMRNJ&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
2IW9P6J7XAW72__2LMUYHDQXMRNJ,2IW9P6J7XAW72,Shanghai,2LMUYHDQXMRNJ,Los Angeles,active,2026-03-18,full,586:614E,2026-04-14 13:00,2026-04-29 08:00,GUSTAV MAERSK,15d 10h,P1E | 708 TP8 | YANGSHAN SGH GUANDONG TERMINAL (Shanghai) -> LSA APM Terminal Pier 400( W185 ) (Los Angeles),https://www.maersk.com/schedules/pointToPoint?from=2IW9P6J7XAW72&to=2LMUYHDQXMRNJ&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
2IW9P6J7XAW72__09BIUNPPZHC3Y,2IW9P6J7XAW72,Shanghai,09BIUNPPZHC3Y,Long Beach,inactive,2026-03-18,full,,,,,,,https://www.maersk.com/schedules/pointToPoint?from=2IW9P6J7XAW72&to=09BIUNPPZHC3Y&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
2IW9P6J7XAW72__02R2IYUF20M7Z,2IW9P6J7XAW72,Shanghai,02R2IYUF20M7Z,New York / New Jersey,active,2026-03-18,full,K9X:611E,2026-03-19 22:00,2026-04-22 19:00,COCHRANE,34d 9h,P3E | 712 TP12 | YANGSHAN SGH GUANDONG TERMINAL (Shanghai) -> Apm Terminal - Berth 88 E425 (Newark),https://www.maersk.com/schedules/pointToPoint?from=2IW9P6J7XAW72&to=02R2IYUF20M7Z&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
2IW9P6J7XAW72__02R2IYUF20M7Z,2IW9P6J7XAW72,Shanghai,02R2IYUF20M7Z,New York / New Jersey,active,2026-03-18,full,IF8:612E,2026-03-26 05:00,2026-04-29 19:00,KANDLA EXPRESS,35d 2h,P3E | 712 TP12 | YANGSHAN SGH GUANDONG TERMINAL (Shanghai) -> Apm Terminal - Berth 88 E425 (Newark),https://www.maersk.com/schedules/pointToPoint?from=2IW9P6J7XAW72&to=02R2IYUF20M7Z&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
2IW9P6J7XAW72__02R2IYUF20M7Z,2IW9P6J7XAW72,Shanghai,02R2IYUF20M7Z,New York / New Jersey,active,2026-03-18,full,Y00:613E,2026-04-02 05:00,2026-05-06 19:00,COLOMBO EXPRESS,35d 2h,P3E | 712 TP12 | YANGSHAN SGH GUANDONG TERMINAL (Shanghai) -> Apm Terminal - Berth 88 E425 (Newark),https://www.maersk.com/schedules/pointToPoint?from=2IW9P6J7XAW72&to=02R2IYUF20M7Z&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
2IW9P6J7XAW72__02R2IYUF20M7Z,2IW9P6J7XAW72,Shanghai,02R2IYUF20M7Z,New York / New Jersey,active,2026-03-18,full,612:614E,2026-04-09 05:00,2026-05-13 19:00,GJERTRUD MAERSK,35d 2h,P3E | 712 TP12 | YANGSHAN SGH GUANDONG TERMINAL (Shanghai) -> Apm Terminal - Berth 88 E425 (Newark),https://www.maersk.com/schedules/pointToPoint?from=2IW9P6J7XAW72&to=02R2IYUF20M7Z&containerIsoCode=45G1&fromServiceMode=CY&toServiceMode=CY&numberOfWeeks=4&dateType=D&date=2026-03-18&vesselFlag=
