company_name,contact_person,phone_number,email,website,address,city,state_or_region,country,industry,source_directory_url,source_profile_url
"CLASQUIN JAPAN Co., Ltd.",,+81-(0)3-5360-6953,tyo@clasquin.com,https://www.clasquin.com/en/,"Hanazono MJ Bldg. 4F, 5-16-15 Shinjuku, Shinjuku-ku, Tokyo 160-0022",Tokyo,Kanto,Japan,Transport & Logistics,https://japan.ahk.de/en/membership/member-directory?members_directory_filter%5Bindustry%5D=57339&members_directory_filter%5Bcountry%5D=0&members_directory_filter%5Bstate%5D=0&members_directory_filter%5Bcity%5D=0&members_directory_filter%5BsortType%5D=member_details-member_name-ascending,https://japan.ahk.de/en/membership/member-directory/clasquin-japan-co.-ltd
Dachser Japan K.K.,,+81-(0)3-4553-8230,,https://www.dachser.com/,"Morishigyo Kanda Building 6F, 2-11-6 Kandanishiki-cho, Chiyoda-ku, Tokyo 101-0054",Tokyo,Kanto,Japan,Transport & Logistics,https://japan.ahk.de/en/membership/member-directory?members_directory_filter%5Bindustry%5D=57339&members_directory_filter%5Bcountry%5D=0&members_directory_filter%5Bstate%5D=0&members_directory_filter%5Bcity%5D=0&members_directory_filter%5BsortType%5D=member_details-member_name-ascending,https://japan.ahk.de/en/membership/member-directory/dachser-japan-k.k
DHL Global Forwarding Japan K.K.,,+81-(0)3-5247-5551,,https://www.dhl.com/jp-en/home/global-forwarding.html,"Tokyo Skytree East Tower 26F, 1-1-2 Oshiage, Sumida-ku, Tokyo 131-0045",Tokyo,Kanto,Japan,Transport & Logistics,https://japan.ahk.de/en/membership/member-directory?members_directory_filter%5Bindustry%5D=57339&members_directory_filter%5Bcountry%5D=0&members_directory_filter%5Bstate%5D=0&members_directory_filter%5Bcity%5D=0&members_directory_filter%5BsortType%5D=member_details-member_name-ascending,https://japan.ahk.de/en/membership/member-directory/dhl-global-forwarding-japan-k.k
DHL Supply Chain Ltd.,,+81-(0)3-5792-9001,,https://www.dhl.com/jp-en/home/supply-chain.html,"Gotenyama Trust Tower 8F, 4-7-35 Kita-Shinagawa, Shinagawa-ku, Tokyo 140-0001",Tokyo,Kanto,Japan,Transport & Logistics,https://japan.ahk.de/en/membership/member-directory?members_directory_filter%5Bindustry%5D=57339&members_directory_filter%5Bcountry%5D=0&members_directory_filter%5Bstate%5D=0&members_directory_filter%5Bcity%5D=0&members_directory_filter%5BsortType%5D=member_details-member_name-ascending,https://japan.ahk.de/en/membership/member-directory/dhl-supply-chain-ltd.
EPS - Ehrhardt Partner Solutions K.K.,,,,https://www.epg.com/gb/,"WeWork - KDX Toranomon Itchome Bldg. 11F, 1-10-5 Toranomon, Minato-ku, Tokyo 105-0001",Tokyo,Kanto,Japan,"Computer, IT & Internet | Transport & Logistics",https://japan.ahk.de/en/membership/member-directory?members_directory_filter%5Bindustry%5D=57339&members_directory_filter%5Bcountry%5D=0&members_directory_filter%5Bstate%5D=0&members_directory_filter%5Bcity%5D=0&members_directory_filter%5BsortType%5D=member_details-member_name-ascending,https://japan.ahk.de/en/membership/member-directory/eps-ehrhardt-partner-solutions-k.k
Hapag-Lloyd (Japan) K.K.,,+81-(0)3-5212-6155,,https://www.hapag-lloyd.com/en/home.html,"Sumitomo Fudosan Fukuoka Hanzomon Bldg. 2F, 1-12-1 Kojimachi, Chiyoda-ku, Tokyo 102-0083",Tokyo,Kanto,Japan,Transport & Logistics,https://japan.ahk.de/en/membership/member-directory?members_directory_filter%5Bindustry%5D=57339&members_directory_filter%5Bcountry%5D=0&members_directory_filter%5Bstate%5D=0&members_directory_filter%5Bcity%5D=0&members_directory_filter%5BsortType%5D=member_details-member_name-ascending,https://japan.ahk.de/en/membership/member-directory/hapag-lloyd-japan-k.k
Hellmann Worldwide Logistics Inc.,,+81 3 5839 2683,,https://www.hellmann.com/en,"Morishigyo Kanda Bldg. 8F, 2-11-6 Kandanishikicho, Chiyoda-ku, Tokyo 101-0054",Tokyo,Kanto,Japan,Transport & Logistics,https://japan.ahk.de/en/membership/member-directory?members_directory_filter%5Bindustry%5D=57339&members_directory_filter%5Bcountry%5D=0&members_directory_filter%5Bstate%5D=0&members_directory_filter%5Bcity%5D=0&members_directory_filter%5BsortType%5D=member_details-member_name-ascending,https://japan.ahk.de/en/membership/member-directory/hellmann-worldwide-logistics-inc
Interfracht Japan K.K.,,+81-(0)3-5843-7698,,https://interfracht.jp/,"DSG BLDG. 3F, 1-11-7 Hamamatsucho, Minato-ku, Tokyo 105-0013",Tokyo,Kanto,Japan,Transport & Logistics,https://japan.ahk.de/en/membership/member-directory?members_directory_filter%5Bindustry%5D=57339&members_directory_filter%5Bcountry%5D=0&members_directory_filter%5Bstate%5D=0&members_directory_filter%5Bcity%5D=0&members_directory_filter%5BsortType%5D=member_details-member_name-ascending,https://japan.ahk.de/en/membership/member-directory/interfracht-japan-k.k.
"JAS Forwarding (Japan) Co., Ltd.",,+81-(0)3-5405-2781,,https://www.jas.com/,"Ryoshin Onarimon Bldg. 5F, 6-17-15 Shinbashi, Minato-ku, Tokyo 105-0004",Tokyo,Kanto,Japan,Transport & Logistics,https://japan.ahk.de/en/membership/member-directory?members_directory_filter%5Bindustry%5D=57339&members_directory_filter%5Bcountry%5D=0&members_directory_filter%5Bstate%5D=0&members_directory_filter%5Bcity%5D=0&members_directory_filter%5BsortType%5D=member_details-member_name-ascending,https://japan.ahk.de/en/membership/member-directory/jas-forwarding-japan-co.-ltd
Leschaco Japan K.K.,,+81-(0)3-6452-9725,,https://www.leschaco.com/en/start.html,"Clover Shiba Koen 6F, 1-3-12 Shiba-Koen, Minato-ku, Tokyo 105-0011",Tokyo,Kanto,Japan,Transport & Logistics,https://japan.ahk.de/en/membership/member-directory?members_directory_filter%5Bindustry%5D=57339&members_directory_filter%5Bcountry%5D=0&members_directory_filter%5Bstate%5D=0&members_directory_filter%5Bcity%5D=0&members_directory_filter%5BsortType%5D=member_details-member_name-ascending,https://japan.ahk.de/en/membership/member-directory/leschaco-japan-k.k
